frame,thorax_x,thorax_y,thorax_z,thorax_score,neck_x,neck_y,neck_z,neck_score,a_L1_x,a_L1_y,a_L1_z,a_L1_score,a_L2_x,a_L2_y,a_L2_z,a_L2_score,a_R1_x,a_R1_y,a_R1_z,a_R1_score,a_R2_x,a_R2_y,a_R2_z,a_R2_score,leg_f_L1_x,leg_f_L1_y,leg_f_L1_z,leg_f_L1_score,leg_f_L2_x,leg_f_L2_y,leg_f_L2_z,leg_f_L2_score,leg_f_R1_x,leg_f_R1_y,leg_f_R1_z,leg_f_R1_score,leg_f_R2_x,leg_f_R2_y,leg_f_R2_z,leg_f_R2_score,leg_m_L1_x,leg_m_L1_y,leg_m_L1_z,leg_m_L1_score,leg_m_L2_x,leg_m_L2_y,leg_m_L2_z,leg_m_L2_score,leg_m_R1_x,leg_m_R1_y,leg_m_R1_z,leg_m_R1_score,leg_m_R2_x,leg_m_R2_y,leg_m_R2_z,leg_m_R2_score,a_R0_x,a_R0_y,a_R0_z,a_R0_score,a_L0_x,a_L0_y,a_L0_z,a_L0_score,leg_f_R0_x,leg_f_R0_y,leg_f_R0_z,leg_f_R0_score,leg_f_L0_x,leg_f_L0_y,leg_f_L0_z,leg_f_L0_score,leg_m_R0_x,leg_m_R0_y,leg_m_R0_z,leg_m_R0_score,leg_m_L0_x,leg_m_L0_y,leg_m_L0_z,leg_m_L0_score,eye_L_x,eye_L_y,eye_L_z,eye_L_score,eye_R_x,eye_R_y,eye_R_z,eye_R_score,m_L0_x,m_L0_y,m_L0_z,m_L0_score,m_R0_x,m_R0_y,m_R0_z,m_R0_score,m_L1_x,m_L1_y,m_L1_z,m_L1_score,m_R1_x,m_R1_y,m_R1_z,m_R1_score
10,8.173452500953033,0.07512023692055084,211.3259236121332,0.03848913464350885,,,,0.0,7.440268094359211,-1.9486434960681343,211.37135717633757,0.0034446258689518885,,,,0.0,8.552802778099318,-1.2102351967923106,212.75736743165987,0.00230063779289663,,,,0.0,8.273383551138702,-1.725444191835118,212.6906969958337,0.0025672752241200506,,,,0.0,8.891444069876675,-0.9003748199760943,215.7434759613627,0.00815266663523251,,,,0.0,8.815270593974239,-2.06859780954758,213.3287961137816,0.0018806470261012289,7.186902740472776,-1.6598843840637532,214.36342894637932,0.0020990392628940546,9.684002260606137,-0.031641597160639946,217.03577445210843,0.009621528649636594,9.903485949053259,1.1373506969122913,220.01335792772943,0.0019835575560284463,,,,0.0,,,,0.0,9.262124834561668,-1.2418521054524831,216.33256820308853,0.0052799084824628785,8.986581871752927,-1.658019861657142,215.21477875607385,0.00268760922999312,9.150399157836082,-0.6336553964729453,217.12362527262295,0.004566681463560576,8.898490927951606,-1.3821943493181323,215.52201658007777,0.0022867235246177456,7.994529202833972,-2.1454942760581672,211.84114425410857,0.0033441990452672253,8.354265177716321,-1.5372040657059671,213.43966239834342,0.0065832462183529365,,,,0.0,,,,0.0,,,,0.0,,,,0.0
11,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
12,8.170442947176655,0.11514996650508946,211.3818506211245,0.0363828079906157,8.408070287404625,-1.6088947262503903,213.07470058234222,0.012626856121289715,7.3664909681722195,-1.8333105874294844,211.37129465898042,0.0037743068263762125,,,,0.0,8.431918356195835,-1.0324609230744373,214.441660472648,0.0021774216740647165,,,,0.0,8.028331096946028,-1.4711970838650446,212.7363838629545,0.0028411121870560957,,,,0.0,8.832921080334357,-0.9368909651955464,213.54344099967736,0.009918535713392667,,,,0.0,8.76706328474579,-1.98192560800798,213.38870875558078,0.0018906744087219805,7.405623787556947,-1.9174416430870627,214.31407503396335,0.0017063618774636042,9.664981054830442,-0.020973080847028633,217.0495506684739,0.009559850565467676,9.827997833178944,1.2144259938511117,220.04383019093336,0.0020073457744716446,,,,0.0,,,,0.0,9.188791101915488,-1.211877656751334,216.3443337900139,0.005175903785238375,8.952556853958741,-1.6233673092677006,215.25673272452892,0.002753331090980015,9.10477744183172,-0.6038424644429264,216.8881782606905,0.004653977662671519,8.78347459508698,-1.2673549692385193,215.50950024530394,0.0023313499186340867,8.151960746232241,-2.3014779241004195,212.51518398962767,0.0022742838841513517,8.298320467040519,-1.4821263407227891,213.48881615914104,0.006404673887023127,,,,0.0,,,,0.0,,,,0.0,,,,0.0
13,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
14,8.187643945445126,0.09142654370561505,211.3284257878433,0.028590298897419618,8.38898688106044,-1.5905539001461513,213.0927129426644,0.013251286507017884,,,,0.0,,,,0.0,8.361771429339612,-0.9587869964056105,214.4014162925959,0.0021563341267567477,,,,0.0,8.082790175504615,-1.5635208358071717,212.84230120731107,0.00265337298042897,,,,0.0,8.902794134446028,-0.9471306785431576,215.2814530841714,0.01162498601775146,,,,0.0,8.753708687825632,-1.9671832841916823,213.45967720426754,0.001929403507279802,7.380443395679494,-1.9728196871358974,214.26737835735656,0.001626587768109063,9.662149222808411,-0.022506015497001295,217.0046473543116,0.00963661502325521,9.80332895154435,1.2375864076292993,220.05333226863996,0.002024267057943883,,,,0.0,,,,0.0,9.162645652397815,-1.185973148646812,216.3663222871006,0.0053973155942413495,8.927553280853617,-1.6001037126736373,215.27791517899493,0.002852001934854606,9.127021076036993,-0.59338094908063,216.92819812189668,0.0047938525291947014,8.743886938384383,-1.227762304267168,215.5266390678478,0.0023680080880060556,8.143156973486006,-2.2957993060235578,212.53383504905224,0.0023486845741394918,8.276780686467276,-1.4664282534515265,213.50830997521368,0.00588747808684546,,,,0.0,,,,0.0,,,,0.0,,,,0.0
15,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
16,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
17,8.188900666954632,0.12788506367813363,211.40350450919073,0.033762958123394124,8.379497796750595,-1.3934162374213175,213.28278042321588,0.029334079638645285,,,,0.0,,,,0.0,8.352518026042091,-0.9557802522283326,214.44432739824788,0.002180332239207534,,,,0.0,8.140204241645806,-1.6282674984945036,212.83683328562304,0.002872377474328994,,,,0.0,8.850363951950788,-0.8486238426988472,215.4439414726863,0.009991539480277244,,,,0.0,8.757824972012456,-2.0176432736544725,213.48481690579726,0.002013514693718381,7.470459493189777,-2.0657039332905156,214.7700942896384,0.0012762822024476534,9.685662677005837,-0.01377742355415761,217.01916740283528,0.009349325777536815,9.940683285677522,1.0868090361085667,220.03273198524144,0.0019908123661081813,,,,0.0,,,,0.0,,,,0.0,8.888976699251582,-1.5162728388151194,215.3650167713348,0.002868655818027291,9.078740098770952,-0.5420692335488974,216.9925057968182,0.005441876542031356,8.734564899706523,-1.2153071756781102,215.58610160187519,0.002457757158061747,,,,0.0,8.173104065507728,-1.3682065012223312,213.50070101612738,0.005504114632629737,,,,0.0,,,,0.0,,,,0.0,,,,0.0
18,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
19,8.20236000203245,0.12320334420110828,211.3941266685884,0.03459949871476734,8.264404885617594,-1.446090699096419,213.2209312824373,0.01857175153603109,,,,0.0,,,,0.0,8.305624011209236,-0.9316061143995923,214.573228624468,0.002094163012180757,,,,0.0,8.221249210933552,-1.7055126516034234,212.950005256005,0.0027978143415659557,,,,0.0,8.781502456419005,-0.8045621217831731,215.48272737794426,0.009909861452426186,,,,0.0,8.643170455322196,-1.890841619416476,213.5484008411928,0.002092458951606716,7.423326270575096,-2.0985471816239505,214.75993336666167,0.0012616504343554338,9.647018078707315,-0.0017420790032457423,216.98935284386323,0.008770432032315976,9.810254255287166,1.2349357885980778,220.03583693460874,0.0020406070112373065,,,,0.0,,,,0.0,9.12460740762399,-1.0969286641418827,216.51796055572458,0.005995012592588031,8.820122117651248,-1.4759854167216768,215.4106157501142,0.0030424080282346905,9.113713304859667,-0.5649017916376393,217.06558613428348,0.005453552352287395,8.659907152660333,-1.128743976801295,215.66053100341176,0.0025839397123738994,,,,0.0,8.151870109191625,-1.3229385534466729,213.63799527180055,0.0055172226428379795,,,,0.0,,,,0.0,,,,0.0,,,,0.0
