frame,m_R1_x,m_R1_y,m_R1_z,m_R1_score,thorax_x,thorax_y,thorax_z,thorax_score,neck_x,neck_y,neck_z,neck_score,a_L1_x,a_L1_y,a_L1_z,a_L1_score,a_L2_x,a_L2_y,a_L2_z,a_L2_score,a_R1_x,a_R1_y,a_R1_z,a_R1_score,a_R2_x,a_R2_y,a_R2_z,a_R2_score,leg_f_L1_x,leg_f_L1_y,leg_f_L1_z,leg_f_L1_score,leg_f_L2_x,leg_f_L2_y,leg_f_L2_z,leg_f_L2_score,leg_f_R1_x,leg_f_R1_y,leg_f_R1_z,leg_f_R1_score,leg_f_R2_x,leg_f_R2_y,leg_f_R2_z,leg_f_R2_score,leg_m_L1_x,leg_m_L1_y,leg_m_L1_z,leg_m_L1_score,leg_m_L2_x,leg_m_L2_y,leg_m_L2_z,leg_m_L2_score,leg_m_R1_x,leg_m_R1_y,leg_m_R1_z,leg_m_R1_score,leg_m_R2_x,leg_m_R2_y,leg_m_R2_z,leg_m_R2_score,a_R0_x,a_R0_y,a_R0_z,a_R0_score,a_L0_x,a_L0_y,a_L0_z,a_L0_score,leg_f_R0_x,leg_f_R0_y,leg_f_R0_z,leg_f_R0_score,leg_f_L0_x,leg_f_L0_y,leg_f_L0_z,leg_f_L0_score,leg_m_R0_x,leg_m_R0_y,leg_m_R0_z,leg_m_R0_score,leg_m_L0_x,leg_m_L0_y,leg_m_L0_z,leg_m_L0_score,eye_L_x,eye_L_y,eye_L_z,eye_L_score,eye_R_x,eye_R_y,eye_R_z,eye_R_score,m_L0_x,m_L0_y,m_L0_z,m_L0_score,m_R0_x,m_R0_y,m_R0_z,m_R0_score,m_L1_x,m_L1_y,m_L1_z,m_L1_score
1493,,,,0.0,2.955108641550086,1.2205849009085796,186.4440328230114,0.34529226710635863,,,,0.20573669305196934,,,,0.20917870474519562,,,,0.10125424065941212,-4.083866855725312,-3.665020568492706,183.75150810719455,0.5242209481193076,,,,0.19426313863416186,,,,0.2144092023675983,,,,0.0,,,,0.2997117505784612,,,,0.0,,,,0.23351623860977427,-2.423255609758313,-1.5677111622182496,186.5272205855369,0.5068801135559899,,,,0.2474084321565744,,,,0.08321354796648565,-2.35543414765788,-2.4495476287615863,185.19632060390146,0.34852437178823087,,,,0.0,,,,0.0,,,,0.0,,,,0.06909096230920864,1.9113595322594599,0.556410004456499,186.89729788152664,0.31313596805330957,,,,0.18465896335449972,-2.020857088792259,-2.523306961703379,184.8941451424208,0.23351103372076137,,,,0.07382471741708058,,,,0.0,,,,0.0
1494,,,,0.0,2.9175805740922085,1.1913806057998357,186.41383011301787,0.35258396469039327,,,,0.20268505608539752,,,,0.21013162071847824,,,,0.08560441890963286,-4.076635606605733,-3.690539511820015,183.74982045210317,0.5146703192093004,,,,0.2250855988586428,,,,0.22052170724447617,,,,0.0,-0.37413795707190095,-1.353917007484047,184.31503048067535,0.5040891937658639,,,,0.0,,,,0.22689424215474904,-2.413644634843686,-1.520000989924279,186.41895412353784,0.533879523440046,,,,0.24802931673533501,,,,0.0757734167360279,-2.4740963519783588,-2.483006624780293,185.09322951513755,0.35562626768015765,,,,0.0,,,,0.0,,,,0.0,,,,0.0,1.9404886264453827,0.5446903075185302,186.88137072144997,0.31876620184682325,,,,0.18510037201294197,-2.0974153857472246,-2.6009643206963453,184.91865261249183,0.24652479943138284,,,,0.08359962747850459,,,,0.0,,,,0.06324523170624997
1495,,,,0.0,,,,0.16139189870585996,,,,0.19918315628986288,,,,0.22163011752302883,,,,0.06467464334349525,-4.04376127907826,-3.644084753012924,183.84094681370752,0.511477087089039,,,,0.24222957130310135,,,,0.23246498482773112,,,,0.0,-0.5245507604541657,-1.4074168033964156,184.25178026907415,0.524982809096454,,,,0.0,,,,0.21983695960600325,-2.3778610293180944,-1.4900701739393996,186.39139345601998,0.512856000054288,,,,0.24536741398095446,,,,0.0896686809845192,-2.3689776143445975,-2.4713217846952285,185.17282115151565,0.37237344852248744,,,,0.06373549843117125,,,,0.0,,,,0.0,,,,0.0,1.9613956419996699,0.5343544771187797,186.8960316236186,0.3167929780506618,,,,0.19883002559537694,-2.111348858378264,-2.5429921793984973,184.78339761908032,0.25296961761010106,,,,0.09109926061872675,,,,0.0,,,,0.06671719686996079
1496,,,,0.0,3.0165926278621895,1.1814048879738843,186.39351145911823,0.31615357144061845,,,,0.14007131041420703,,,,0.2174342579839477,,,,0.09054768347261559,-2.3619172202408114,-3.6211159580572425,184.79590033310802,0.5089817959001329,,,,0.17272940031622133,-1.3888576575866396,-1.0426941544953758,185.96499173584118,0.40238506318486505,,,,0.0,-0.5698242068652268,-1.4444296606623348,184.29379756197298,0.4792629945739066,,,,0.0,,,,0.22311381276102957,-2.436367348132187,-1.6321291028843325,186.59469392287707,0.5376591166495844,,,,0.21607634848332133,,,,0.08420498900086315,-2.4528252172622214,-2.5258844669293836,185.13038304466312,0.3014115808595998,,,,0.0,,,,0.0,,,,0.0,,,,0.0,1.9507972913493903,0.5006491290651911,186.8148698161399,0.3447518070779827,,,,0.21384396719249263,-2.078074093178442,-2.513998586506838,184.8010915212551,0.2671328103082284,,,,0.10286194138135277,,,,0.0,,,,0.0690171006303393
1497,,,,0.0,3.0245326940956367,1.1717414674675273,186.40391982850164,0.33611250588392416,,,,0.13664426603689267,,,,0.210884526631299,,,,0.0805102755132472,-2.33136373317981,-3.596526908719985,184.82396038217558,0.49873872774382433,,,,0.19020696776403848,-1.3871745251024044,-1.054319134423815,185.9651380253852,0.39699489999268195,,,,0.0,-0.5480770730498736,-1.4396797660691258,184.28614965003712,0.47018203176129386,,,,0.0,,,,0.22526204175459133,-2.480643082879029,-1.6392297788109444,186.57459267857215,0.5426429217760187,,,,0.21389829788989978,,,,0.08138708329737414,-2.545458721604776,-2.502823178815267,185.12912344374357,0.33034684946568027,,,,0.0,,,,0.0,,,,0.0,,,,0.06443969698679845,1.9483215282187107,0.47290464897859796,186.80455749686007,0.34343004979165503,,,,0.22005128704858348,-2.132817842047154,-2.5506574252249417,184.81376719663146,0.27296619414447276,,,,0.10843620688388239,,,,0.0,,,,0.07416130305782247
1498,,,,0.0,2.9889327559526375,1.1528730937307263,186.38455671345017,0.3326575249770785,,,,0.1876437984302928,,,,0.2126857286564358,,,,0.0,-2.4344118297102697,-3.6159752108246623,184.77821259026118,0.5237110179334034,,,,0.23697501671100762,-1.394737321681739,-1.0518323634672977,185.98849288714848,0.39475594609686443,,,,0.0,-0.5673247376983777,-1.4332074700313948,184.24542708505405,0.5281021614459905,,,,0.0,,,,0.22080475812122471,-2.4017840497737133,-1.5701676275540373,186.49541159962206,0.4897788664249407,,,,0.23323190670409938,,,,0.09222363666220748,-2.4207816548612504,-2.4883712082389953,185.16109656211333,0.3936699302170708,,,,0.07064635278010027,,,,0.0,,,,0.0,,,,0.06774631522570247,2.0116885025288695,0.505804728588186,186.85939848269496,0.3141260652108917,,,,0.21279576527347996,-2.1877421225984715,-2.5906198431601055,184.79700893565848,0.25376577714840354,,,,0.10051815767058046,,,,0.0,,,,0.07270326136600558
1499,,,,0.0,3.036023141303733,1.1559915768573377,186.40581176165324,0.34214253952845025,,,,0.17958431797192004,,,,0.2102024729213036,,,,0.07595502613466851,-2.4126064229632926,-3.620262268684861,184.7645065465768,0.5609585080475058,,,,0.2342277371464158,-1.430083527761676,-1.0728547944546774,185.96287039020044,0.40063376860231525,,,,0.0,-0.5838814694456859,-1.4472479635859987,184.25432146751004,0.5385066724915879,,,,0.0,,,,0.22275457834048262,-2.4428612228908575,-1.614235597201931,186.54244416695448,0.49582409734703387,,,,0.23692618690251963,,,,0.09564488815136207,-2.43799179769098,-2.4873497782461134,185.15111136609877,0.38788701499992806,,,,0.06554756094419131,,,,0.0,,,,0.0,,,,0.06699560872651636,1.995765941996099,0.4928239494451464,186.82647994552715,0.3079117251170575,,,,0.21416797331756404,-2.164785572208629,-2.5951191791598105,184.82130200739687,0.2490647096726119,,,,0.09751098936254873,,,,0.0,,,,0.07090068411863895
1500,,,,0.0,3.0308268506482725,1.119016878722912,186.40453741811282,0.43917754977204465,2.2467930009227115,-1.3554765915317115,186.3273653099971,0.4493410947429829,,,,0.0,-1.7485764352549955,-1.5836972784652275,185.9923915327974,0.3660680922618587,2.5240450940448507,-3.496293334728885,187.23830650357274,0.7228552154884048,0.5718073223155061,-3.296869119886945,188.29915677335075,0.5352528574131912,,,,0.2245006772831243,,,,0.0,3.2682436839362605,-1.3081752061449918,186.1430318476447,0.8130153613189801,,,,0.0,,,,0.21845857248121545,-2.2341102263990145,-1.270233815256198,186.17426662975583,0.6528167805370354,4.203357798584398,-0.3983906330911677,185.64011783271187,0.7394794008142821,,,,0.0,1.3749412674068702,-2.368209492419018,187.11499207819938,0.43986930613940484,1.1359496086573342,-1.6812015248672434,187.3134100161864,0.2230730293957781,,,,0.0,,,,0.06438591261055106,,,,0.15456190459824368,2.051676037234126,0.5108409997297173,186.78108838762333,0.3951257379279922,0.9140045367551299,-1.1276673086197917,186.5995532189736,0.505183842266234,2.305640443502539,-2.2738050729190245,186.83403006221602,0.3698486002714881,0.785592533827231,-1.5839065595383253,187.29158782360142,0.26056914542473764,,,,0.0,,,,0.07055254566923377
1501,,,,0.0,3.0280383110374633,1.1111198246221905,186.41136124270088,0.4967029754287708,1.9641061002495155,-1.3704209917492665,186.19488517714385,0.49253947540923654,,,,0.06875432957181506,-1.7736865171094518,-1.543568811701474,185.92267305390965,0.41829259927330187,2.51820520995751,-3.503574926675602,187.28164000857126,0.7338707485722096,0.6358885862708259,-3.22245745071213,188.3652886474517,0.5106306393147514,1.2135760364854233,-0.3340842010174182,186.40504557569224,0.426223986926563,,,,0.0,3.197361144488907,-1.3204429079226645,186.11905659585133,0.7816423566226729,,,,0.0,,,,0.24987237826450748,-2.2225428759788715,-1.2479956318172805,186.11630315669728,0.65912539657827,4.206680295998537,-0.4004344886016092,185.64077712291265,0.7278620065776875,,,,0.06659256971021836,1.431881466982427,-2.3717491066185876,187.19557708767746,0.4694443163527451,1.0690322373726573,-1.6807572812936435,187.27954868818603,0.22825778775627398,,,,0.0,,,,0.06705931165761286,3.284231103235181,0.14890195514448987,186.4834855075341,0.29162772946443566,2.10098223614483,0.514700065321318,186.76101462588406,0.3617205241564203,0.932049525771412,-1.1019504505138529,186.62298480433782,0.523246222180155,2.3294166578610054,-2.248914238639458,186.81293644512624,0.4279443844581539,0.7185165610077321,-1.5824279911288053,187.25234228981293,0.2832286534858076,,,,0.0,,,,0.06697394426673194
1502,,,,0.0,3.068533183875795,1.1040368846783994,186.43734001666294,0.4873424316700546,1.9210829366737883,-1.3925539605456136,186.19661202014555,0.5090772314532823,,,,0.06655458626061808,-1.7065329753163252,-1.5070037745539544,185.94942465188822,0.38359510797044555,2.51463269054419,-3.495074146975672,187.31575570507204,0.6722054917377388,0.6715854512354348,-3.18287842198428,188.44135360562126,0.4904822446188083,1.195337075747386,-0.3348860659571894,186.34770167038633,0.4228658653110364,,,,0.0,3.216785260830596,-1.3376885048764875,186.10965597812006,0.7608158889072087,,,,0.0,,,,0.2534468069036682,-1.6746023711614235,-0.6441232353694711,186.50365624129466,0.6468946482074613,4.181420291564002,-0.4615074464051543,185.61682998635237,0.7210494001088857,,,,0.11646546071119074,1.4092929670613237,-2.385690630752327,187.19834559777317,0.41272864339060233,1.1537127407428227,-1.640469463537437,187.3245816094214,0.23033794008700903,,,,0.0,,,,0.06805139320645355,3.313156000202552,0.13013220468571968,186.5022261029606,0.2952797209457961,2.092953193772173,0.5126841524024118,186.75608888308355,0.3852491051883933,0.914643604953916,-1.1074195295106748,186.6212101775668,0.5117502773190142,2.2801387121957335,-2.2852380727493284,186.77078124891514,0.4113316534601759,0.6827447387468449,-1.5986454624200077,187.2116865815162,0.2605735648110925,,,,0.0,,,,0.0
